date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:41	43983/43983	---M-Z	200	added ('OK')	text/html	etag:W/%225fd075d3-abcf%22	https://mironmahmud.com/ushno/assets/index.html	C:/Users/compaq/Desktop/eaglefm-main/eagle-main/mironmahmud.com/ushno/assets/index.html	(from )
23:14:41	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225ececa4d-247b%22	https://mironmahmud.com/robots.txt		(from )
23:14:42	2891/2891	---M--	200	added ('OK')	image/png	etag:%225fd075d3-b4b%22	https://mironmahmud.com/ushno/assets/img/favicon.png	C:/Users/compaq/Desktop/eaglefm-main/eagle-main/mironmahmud.com/ushno/assets/img/favicon.png	(from https://mironmahmud.com/ushno/assets/index.html)
23:14:42	58935/58935	---M-Z	200	added ('OK')	text/css	etag:%225f0f47d3-e637%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.14.0/css/all.min.css	C:/Users/compaq/Desktop/eaglefm-main/eagle-main/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.14.0/css/all.min.css	(from https://mironmahmud.com/ushno/assets/index.html)
23:14:42	1333/1333	---M-Z	200	added ('OK')	text/css	etag:W/%225fd075d3-535%22	https://mironmahmud.com/ushno/assets/css/vendor/slick.css	C:/Users/compaq/Desktop/eaglefm-main/eagle-main/mironmahmud.com/ushno/assets/css/vendor/slick.css	(from https://mironmahmud.com/ushno/assets/index.html)
23:14:43	18552/18552	---M-Z	200	added ('OK')	text/css	etag:W/%225fd075d3-4878%22	https://mironmahmud.com/ushno/assets/css/vendor/venobox.min.css	C:/Users/compaq/Desktop/eaglefm-main/eagle-main/mironmahmud.com/ushno/assets/css/vendor/venobox.min.css	(from https://mironmahmud.com/ushno/assets/index.html)
23:14:43	159515/159515	---M-Z	200	added ('OK')	text/css	etag:W/%225fd075d3-26f1b%22	https://mironmahmud.com/ushno/assets/css/vendor/bootstrap.min.css	C:/Users/compaq/Desktop/eaglefm-main/eagle-main/mironmahmud.com/ushno/assets/css/vendor/bootstrap.min.css	(from https://mironmahmud.com/ushno/assets/index.html)
23:14:43	19538/19538	---M-Z	200	added ('OK')	text/css	etag:W/%225fd075d3-4c52%22	https://mironmahmud.com/ushno/assets/css/custom/main.css	C:/Users/compaq/Desktop/eaglefm-main/eagle-main/mironmahmud.com/ushno/assets/css/custom/main.css	(from https://mironmahmud.com/ushno/assets/index.html)
23:14:43	11402/11402	---M-Z	200	added ('OK')	text/css	etag:W/%225fd075d3-2c8a%22	https://mironmahmud.com/ushno/assets/css/custom/index.css	C:/Users/compaq/Desktop/eaglefm-main/eagle-main/mironmahmud.com/ushno/assets/css/custom/index.css	(from https://mironmahmud.com/ushno/assets/index.html)
23:14:44	5014/5014	---M--	200	added ('OK')	image/png	etag:%225fd075d3-1396%22	https://mironmahmud.com/ushno/assets/img/logo.png	C:/Users/compaq/Desktop/eaglefm-main/eagle-main/mironmahmud.com/ushno/assets/img/logo.png	(from https://mironmahmud.com/ushno/assets/index.html)
